# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
312           	GAMG	7.442550e-02	1.659420e-04	2	true
313           	GAMG	7.495830e-02	1.625970e-04	2	true
314           	GAMG	7.472110e-02	1.592210e-04	2	true
315           	GAMG	7.435370e-02	1.567170e-04	2	true
316           	GAMG	7.450880e-02	1.562730e-04	2	true
317           	GAMG	7.423980e-02	1.542520e-04	2	true
318           	GAMG	7.356310e-02	1.538930e-04	2	true
319           	GAMG	7.345530e-02	1.548190e-04	2	true
320           	GAMG	7.373200e-02	1.536370e-04	2	true
321           	GAMG	7.295220e-02	1.584230e-04	2	true
322           	GAMG	7.312780e-02	1.600190e-04	2	true
323           	GAMG	7.405410e-02	1.575590e-04	2	true
324           	GAMG	7.438190e-02	1.589950e-04	2	true
325           	GAMG	7.466040e-02	1.583750e-04	2	true
326           	GAMG	7.490230e-02	1.592350e-04	2	true
327           	GAMG	7.387740e-02	1.642540e-04	2	true
328           	GAMG	7.324570e-02	1.614100e-04	2	true
329           	GAMG	7.281510e-02	1.593150e-04	2	true
330           	GAMG	7.242550e-02	1.595850e-04	2	true
331           	GAMG	7.220390e-02	1.568860e-04	2	true
332           	GAMG	7.182820e-02	1.525160e-04	2	true
333           	GAMG	7.094450e-02	1.534390e-04	2	true
334           	GAMG	7.097780e-02	1.569240e-04	2	true
335           	GAMG	7.122520e-02	1.574090e-04	2	true
336           	GAMG	7.224630e-02	1.572220e-04	2	true
337           	GAMG	7.217380e-02	1.637280e-04	2	true
338           	GAMG	7.258950e-02	1.601650e-04	2	true
339           	GAMG	7.329080e-02	1.632100e-04	2	true
340           	GAMG	7.403810e-02	1.563250e-04	2	true
341           	GAMG	7.422860e-02	1.666150e-04	2	true
342           	GAMG	7.488220e-02	1.622080e-04	2	true
343           	GAMG	7.541360e-02	1.580820e-04	2	true
344           	GAMG	7.494800e-02	1.590210e-04	2	true
345           	GAMG	7.378290e-02	1.631630e-04	2	true
346           	GAMG	7.360730e-02	1.669420e-04	2	true
347           	GAMG	7.374160e-02	1.609940e-04	2	true
348           	GAMG	7.389510e-02	1.619560e-04	2	true
349           	GAMG	7.454700e-02	1.609770e-04	2	true
350           	GAMG	7.366370e-02	1.559430e-04	2	true
351           	GAMG	7.374920e-02	1.598820e-04	2	true
352           	GAMG	7.324770e-02	1.574530e-04	2	true
353           	GAMG	7.364350e-02	1.586560e-04	2	true
354           	GAMG	7.378310e-02	1.620490e-04	2	true
355           	GAMG	7.389220e-02	1.618940e-04	2	true
356           	GAMG	7.453420e-02	1.678070e-04	2	true
357           	GAMG	7.521070e-02	1.679640e-04	2	true
358           	GAMG	7.579780e-02	1.761680e-04	2	true
359           	GAMG	7.530340e-02	1.715640e-04	2	true
360           	GAMG	7.632130e-02	1.762130e-04	2	true
361           	GAMG	7.725740e-02	1.762430e-04	2	true
362           	GAMG	7.804720e-02	1.806040e-04	2	true
